text,message,class,channel,id
"‼️Министр финансов РФ Антон Силуанов сообщил, что Россия даст кредит Беларуси в два этапа — $1 млрд предоставят в 2020 году, а $500 млн — в 2021 году.","Message(id=11186, to_id=PeerChannel(channel_id=1413275904), date=datetime.datetime(2020, 9, 16, 17, 46, 44, tzinfo=datetime.timezone.utc), message='‼️Министр финансов РФ Антон Силуанов сообщил, что Россия даст кредит Беларуси в два этапа — $1 млрд предоставят в 2020 году, а $500 млн — в 2021 году.', out=False, mentioned=False, media_unread=False, silent=False, post=True, from_scheduled=False, legacy=False, edit_hide=False, from_id=None, fwd_from=None, via_bot_id=None, reply_to_msg_id=None, media=None, reply_markup=None, entities=[MessageEntityTextUrl(offset=37, length=7, url='https://tass.ru/ekonomika/9476071')], views=606854, edit_date=None, post_author=None, grouped_id=None, restriction_reason=[])",news,@nexta_live,11186
,"Message(id=11185, to_id=PeerChannel(channel_id=1413275904), date=datetime.datetime(2020, 9, 16, 17, 10, 18, tzinfo=datetime.timezone.utc), message='', out=False, mentioned=False, media_unread=False, silent=False, post=True, from_scheduled=False, legacy=False, edit_hide=False, from_id=None, fwd_from=None, via_bot_id=None, reply_to_msg_id=None, media=MessageMediaPhoto(photo=Photo(id=5411493544549529259, access_hash=129579123389263058, file_reference=b'\x02T<\xe1\x00\x00\x00+\xb1_b\xed\x07J\xf6--\xf1$s.1\xb3\xf8V\x0c;\xe1\t', date=datetime.datetime(2020, 9, 16, 17, 10, 17, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01\x1e(\xb3\x0b\xbf\x95\xca\xfc\xd99\xfc\xe9&_1@l\xaf~*\x8e\x9f$\x81\xc2""\x06RFx\xa9/du\x90\x95\x05G8\xc1\xa7qX\x82Q\xe5\xc9\xb4d\x80s\x9a\xbc\xd7\xc8\x0fBMEh\xec-\xe4\x95\xd9\x98\x8e\x02\x93M7\xa3;L\\\xfdij\xb6\x1d\x93\xdc{\xdf\xca\x06B\x00\x0fL\x8a)\x9fn\x8c\x8c2\x13\xeb\xd2\x8aWc\xb2\xee\x16\xee\xf1&\xd4\x18\x19\xc9\xe0\xd3\x9ft\x9c\x9c\xf7\xfdj\\\xd09\xebLC#\r\xe5\x98\xf0F{\xf4\xcdWX\xa4\x17\x05\xf6~8\xe2\xae\xe7\x14\xa1\xd8}\xd3\x8c\xd0\x06X\x82A!,\xa7\x19\xcd\x15\xb2\x92\x91\xc1\x02\x8a\x00'), PhotoSize(type='m', location=FileLocationToBeDeprecated(volume_id=200116200408, local_id=32931), w=320, h=240, size=28412), PhotoSize(type='x', location=FileLocationToBeDeprecated(volume_id=200116200408, local_id=32932), w=800, h=600, size=140752), PhotoSize(type='y', location=FileLocationToBeDeprecated(volume_id=200116200408, local_id=32933), w=1280, h=960, size=305920)], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None), reply_markup=None, entities=[], views=657816, edit_date=None, post_author=None, grouped_id=12802209739728658, restriction_reason=[])",news,@nexta_live,11185
,"Message(id=11184, to_id=PeerChannel(channel_id=1413275904), date=datetime.datetime(2020, 9, 16, 17, 10, 17, tzinfo=datetime.timezone.utc), message='', out=False, mentioned=False, media_unread=False, silent=False, post=True, from_scheduled=False, legacy=False, edit_hide=False, from_id=None, fwd_from=None, via_bot_id=None, reply_to_msg_id=None, media=MessageMediaPhoto(photo=Photo(id=5411493544549529258, access_hash=6115708964342779449, file_reference=b'\x02T<\xe1\x00\x00\x00+\xb0_b\xed\x07\x7f\xe9!\x04\x17o\xd0\x14\xcdb?D\x97\x9f\xab\x86', date=datetime.datetime(2020, 9, 16, 17, 10, 16, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01\x1e(z[8\x97h\x19\x00\xf6\x15tM\x04\x00\xa6\xeeGP\x07z\x86Wb\xc7c\x000\x00\x1e\x9cT[\xbdgP{\xe3\x14\xec""\xdf\xdb\x10\xf4W>\xc0R\x1b\xb6\xdb\x91\x17\xe0O5W\xccP\xc0\xf9\xc5\xb0I\xc5)x\xe6*\xbb\xb9\x07#\x14\x01)\xb9\x9c\xf5\x8dT}\x7f\xfa\xf4T;#B\x14\xee\xcf\'\x9a(\x02&\x94\x02\xac\xa5\x8a\xe3\xa6;\xd5B\xdd\xcf^\xf4)o\xef`{S\xe3\x8c\xbfC\xfa\xd2\x18+\xec\'\x07\x1cS\xad\xa5Ap\xbc\x83R\x08#-\xceI5$p\xc5\x13\x02\xa9\xf3\x0e\x87\xad0%\x92A\xc1^M\x14\xed\xc3 m_\xfb\xe6\x8aZ\x81'), PhotoSize(type='m', location=FileLocationToBeDeprecated(volume_id=200108000257, local_id=47097), w=320, h=240, size=27003), PhotoSize(type='x', location=FileLocationToBeDeprecated(volume_id=200108000257, local_id=47098), w=800, h=600, size=130745), PhotoSize(type='y', location=FileLocationToBeDeprecated(volume_id=200108000257, local_id=47099), w=1280, h=960, size=281265)], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None), reply_markup=None, entities=[], views=656228, edit_date=None, post_author=None, grouped_id=12802209739728658, restriction_reason=[])",news,@nexta_live,11184
"Новая партия чешских светошумовых гранат направляется в Беларусь?

Фура с белорусскими номерами и без опознавательных знаков сегодня была замечена въезжающей на территорию завода ZEVETA в чешском городе Бойковице.

Этот завод, в том числе, занимается производством светошумовых гранат. А с учётом того, что ранее чешские боеприпасы использовались карателями при атаках на белорусов, появление фуры на Zeveta наводит на определённые мысли.

На самом заводе сразу отрицали появление фуры, а потом перестали отвечать на номера указанные на их официальном сайте. Мы уже передали эту информацию в компетентные органы Европейского союза для проверки и ждём официальных комментариев.","Message(id=11183, to_id=PeerChannel(channel_id=1413275904), date=datetime.datetime(2020, 9, 16, 17, 10, 17, tzinfo=datetime.timezone.utc), message='Новая партия чешских светошумовых гранат направляется в Беларусь?\n\nФура с белорусскими номерами и без опознавательных знаков сегодня была замечена въезжающей на территорию завода ZEVETA в чешском городе Бойковице.\n\nЭтот завод, в том числе, занимается производством светошумовых гранат. А с учётом того, что ранее чешские боеприпасы использовались карателями при атаках на белорусов, появление фуры на Zeveta наводит на определённые мысли.\n\nНа самом заводе сразу отрицали появление фуры, а потом перестали отвечать на номера указанные на их официальном сайте. Мы уже передали эту информацию в компетентные органы Европейского союза для проверки и ждём официальных комментариев.', out=False, mentioned=False, media_unread=False, silent=False, post=True, from_scheduled=False, legacy=False, edit_hide=False, from_id=None, fwd_from=None, via_bot_id=None, reply_to_msg_id=None, media=MessageMediaPhoto(photo=Photo(id=5411493544549529257, access_hash=-8534166124297770415, file_reference=b'\x02T<\xe1\x00\x00\x00+\xaf_b\xed\x07\x91\xd4`\xc0\x9a\xa8\xe1u,\xe4\xa5\xaf\x83N\xca\xc4', date=datetime.datetime(2020, 9, 16, 17, 10, 15, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b""\x01\x1e(\x944\xd1\x83\xbd\x8a\xfb\x1e\xf5>\xe0FsT\xeen\x1aW$\xed\xc6x\x14\xabr\xc4d@\xcd\x8e\xe1\xb1\xc5\x1b\x01h\x1ez\xd3\x81\x18\xe0\x8a\xa9\xe7\xbf\xdd\xfb3s\xdb4\x86S\x91\xfe\x8c\xca\xdd\x8e\xe3@\x14\xc9\xff\x00J\xce?\x8f\xfa\xd1Nr\x82V\x00g\x9c\xe6\x8a@9\xe0~\xe5\xf1\xe9Jn'P\x15c\x04\x0cs\xb6\xae\x83\x93Ji\xb4\x9e\xe0e\xca\xf3I!s\x1e\t\xf4\x06\xa7\xb7\x96bB\x98\xd4/\xae9\xabe\xb9\xc5(4\x9aOpN\xc5Qn\x15\x89<\xe6\x8a\xb0\xe4\xe3\x03\x1f\x8d\x14Y\x81""), PhotoSize(type='m', location=FileLocationToBeDeprecated(volume_id=200120400295, local_id=43950), w=320, h=240, size=23442), PhotoSize(type='x', location=FileLocationToBeDeprecated(volume_id=200120400295, local_id=43951), w=800, h=600, size=103911), PhotoSize(type='y', location=FileLocationToBeDeprecated(volume_id=200120400295, local_id=43952), w=1280, h=960, size=211184)], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None), reply_markup=None, entities=[MessageEntityBold(offset=0, length=67), MessageEntityTextUrl(offset=313, length=68, url='https://t.me/nexta_tv/3624'), MessageEntityItalic(offset=440, length=236)], views=643171, edit_date=None, post_author=None, grouped_id=12802209739728658, restriction_reason=[])",news,@nexta_live,11183
,"Message(id=11182, to_id=PeerChannel(channel_id=1413275904), date=datetime.datetime(2020, 9, 16, 15, 43, 25, tzinfo=datetime.timezone.utc), message='', out=False, mentioned=False, media_unread=False, silent=False, post=True, from_scheduled=False, legacy=False, edit_hide=False, from_id=None, fwd_from=None, via_bot_id=None, reply_to_msg_id=11179, media=MessageMediaPhoto(photo=Photo(id=5411493544549529233, access_hash=5863081013176936592, file_reference=b'\x02T<\xe1\x00\x00\x00+\xae_b\xed\x07\xe1X]\x82[\x91\xae\xaa\xb3\x9b\xb9\x1c\xc8a\x85\x96', date=datetime.datetime(2020, 9, 16, 15, 43, 24, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01($\xd4\xde\x9ea\x8c\xc87\x91\xd3\xd2\x9c\x01Q\xf7\x8bg\xd7\x1cUv\xb7\x8c\xdd\xf9\xc39=\xb29\xa9\xc2(\x18\xf2\xf8\xfa\n\x00\x90}h=8\xe6\xa3 \x11\xf2\xc7\xd3\xd8T\x80b\x80\x13\x1e\xa4\xd1Ac\xd8Q@\x0cl\xe4\xff\x00\xf5\xe9\x0e\xe3\xeb\x8f\xc6\x97\x01\x9c\xfc\xdc\xe3\xee\x83\xd2\x82\xa38,s\xf5?\xe3@\x07>\xff\x00\xad \xdcO<\x0c\xfb\xd4\x80z\xf2is@\x05\x14\x84\x1c\xf5\xa2\x80\x1a\x11w1\x0b\xc9\xea}i\xc1@\xedE\x14\x00g\x9cP\x06(\xa2\x80\x179\xa2\x8a(\x03'), PhotoSize(type='m', location=FileLocationToBeDeprecated(volume_id=200107600043, local_id=45023), w=286, h=320, size=21645), PhotoSize(type='x', location=FileLocationToBeDeprecated(volume_id=200107600043, local_id=45024), w=714, h=800, size=76108), PhotoSize(type='y', location=FileLocationToBeDeprecated(volume_id=200107600043, local_id=45025), w=1080, h=1210, size=124268)], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None), reply_markup=None, entities=[], views=667486, edit_date=None, post_author=None, grouped_id=12802168039491730, restriction_reason=[])",news,@nexta_live,11182
,"Message(id=11181, to_id=PeerChannel(channel_id=1413275904), date=datetime.datetime(2020, 9, 16, 15, 43, 25, tzinfo=datetime.timezone.utc), message='', out=False, mentioned=False, media_unread=False, silent=False, post=True, from_scheduled=False, legacy=False, edit_hide=False, from_id=None, fwd_from=None, via_bot_id=None, reply_to_msg_id=11179, media=MessageMediaPhoto(photo=Photo(id=5411493544549529232, access_hash=-4560136847538489124, file_reference=b'\x02T<\xe1\x00\x00\x00+\xad_b\xed\x07O@}C\xe7\x06\xbf\xc2-SY\xed\x94\xe0\xd1\xd8', date=datetime.datetime(2020, 9, 16, 15, 43, 24, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b""\x01(#\xd32\xc7\xbc\xc5\xe6\x00\xe4t\xcf4\xe5\xff\x00\x7f \xf78\xa8\x1a\x18\xc5\xc9\x9bi\xdd\xdf\x91\x8a\x9bz\x7fw\x8f\xa8\xa0\t\x01\x1d\x01\x14u\xe8j=\xeaFv\x90?\nr\xc8\x0f\x18\xc7\xe2(\x01\xdbG\xa6h\xa4\xcbz\n(\x02'`\x1c\xfc\xd8\xfcz~\xb4\xed\xc3\x83\xe6-\x05\x86\xfcoP}3\xcd.\t\xcf\xcc>\xbc\xff\x00\x8d\x00(\x90g\x05\xd4\x9fjp\x1e\xbc\x9a`C\x8e\x18~\xbf\xe3J\x07\xa9'\xe8M\x00>\x8aM\xa2\x8a\x00g\x94\x85\xcb\x98\xc6Oz~\x00\xec\x00\xa2\x8a\x00\x07=\x07\x14p\xa2\x8a(\x01h\xa2\x8a\x00""), PhotoSize(type='m', location=FileLocationToBeDeprecated(volume_id=200017000632, local_id=456522), w=277, h=320, size=23512), PhotoSize(type='x', location=FileLocationToBeDeprecated(volume_id=200017000632, local_id=456524), w=692, h=800, size=85231), PhotoSize(type='y', location=FileLocationToBeDeprecated(volume_id=200017000632, local_id=456523), w=1080, h=1249, size=144851)], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None), reply_markup=None, entities=[], views=667537, edit_date=None, post_author=None, grouped_id=12802168039491730, restriction_reason=[])",news,@nexta_live,11181
А вот так выглядит «организация» секретного шабаша.,"Message(id=11180, to_id=PeerChannel(channel_id=1413275904), date=datetime.datetime(2020, 9, 16, 15, 43, 24, tzinfo=datetime.timezone.utc), message='А вот так выглядит «организация» секретного шабаша.', out=False, mentioned=False, media_unread=False, silent=False, post=True, from_scheduled=False, legacy=False, edit_hide=False, from_id=None, fwd_from=None, via_bot_id=None, reply_to_msg_id=11179, media=MessageMediaPhoto(photo=Photo(id=5411493544549529231, access_hash=-2592663357314677936, file_reference=b'\x02T<\xe1\x00\x00\x00+\xac_b\xed\x07Z\xcf\xdb/>\xe3p\xa2\x06\xfa\x95\x94\xa9;\xa8\xbb', date=datetime.datetime(2020, 9, 16, 15, 43, 23, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b""\x01(\x1d\x80\xa7\x14\xdd\xb9\xe2\xac\x11I\x81E\x80\xaf\xb0\x8a]\x86\xa5\xda\t\xf6\xa7\x05\x00Q`$aH\x07\xae*LR\x1e~\x94\xc0f\x05.\xda}'=\xb1@\x85\xa2\x8a(\x18u\xa4\xfch\xa2\x80?""), PhotoSize(type='m', location=FileLocationToBeDeprecated(volume_id=200089400582, local_id=129589), w=231, h=320, size=12716), PhotoSize(type='x', location=FileLocationToBeDeprecated(volume_id=200089400582, local_id=129591), w=577, h=800, size=64929), PhotoSize(type='y', location=FileLocationToBeDeprecated(volume_id=200089400582, local_id=129588), w=657, h=911, size=81506)], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None), reply_markup=None, entities=[], views=668406, edit_date=None, post_author=None, grouped_id=12802168039491730, restriction_reason=[])",news,@nexta_live,11180
"❗️❗️❗️Завтра лукашисты собирают так называемый «Белорусский союз женщин» в Минск-арене на концерте в поддержку узурпатора! Организация тусовки проходит в «подпольных» условиях из-за страха срыва. 

Рабы системы планируют это мероприятие как ответ субботним женским маршам. По классике, в добровольно-принудительном порядке, на тусовку будут свозить людей с регионов. По нашим данным пленных бюджетниц планируют доставить аж 10 000 штук!

Подготовка к концерту проводится в строжайшей секретности. «Государевы люди» боятся, что артисты откажутся от участия в шабаше, как это было 8 августа. Как сообщают наши источники, из «хедлайнеров» своё участие подтвердили Руслан Алехно, Александр Солодуха и Николай Басков (https://instagram.com/nikolaibaskov). Также были приглашены следующие артисты и коллективы: 

«Next»
«Radidance»
вокальный коллектив Татьяны Трухан
Руслан Чернецкий
Сергей Луговский
Юлия Быкова
Виктория Алешко
Анатолий Ярмоленко
ансамбль «Сябры»
шоу-балет «Феерия»
Алена Ланская
Государственный академический ансамбль танца Беларуси
Национальный хор им. Г.И. Цитовича
Ирина Дорофеева
Жанет
шоу-театр Татьяны Пановой «Хвілінка»
арт-группа «Беларусы»
группа «Аура»
Александра и Валентина Груздевы
ансамбль «Заранак»
Стефания Соколова
Артем Скороль
Ксения Галецкая
детская танцевальная группа «Сябрынка»
Маркевич Вика
Кязумова Александра
Владимир Арутюнян
Андрей Колосов
Яна Неклюдова
Александр Авраменко

Как нам стало известно, этот концерт одновременно тренировка по проведению больших мероприятий «втихаря» и репетиция инаугурации. Для фашистского режима важность его проведения переоценить сложно.","Message(id=11179, to_id=PeerChannel(channel_id=1413275904), date=datetime.datetime(2020, 9, 16, 14, 56, 21, tzinfo=datetime.timezone.utc), message='❗️❗️❗️Завтра лукашисты собирают так называемый «Белорусский союз женщин» в Минск-арене на концерте в поддержку узурпатора! Организация тусовки проходит в «подпольных» условиях из-за страха срыва. \n\nРабы системы планируют это мероприятие как ответ субботним женским маршам. По классике, в добровольно-принудительном порядке, на тусовку будут свозить людей с регионов. По нашим данным пленных бюджетниц планируют доставить аж 10 000 штук!\n\nПодготовка к концерту проводится в строжайшей секретности. «Государевы люди» боятся, что артисты откажутся от участия в шабаше, как это было 8 августа. Как сообщают наши источники, из «хедлайнеров» своё участие подтвердили Руслан Алехно, Александр Солодуха и Николай Басков (https://instagram.com/nikolaibaskov). Также были приглашены следующие артисты и коллективы: \n\n«Next»\n«Radidance»\nвокальный коллектив Татьяны Трухан\nРуслан Чернецкий\nСергей Луговский\nЮлия Быкова\nВиктория Алешко\nАнатолий Ярмоленко\nансамбль «Сябры»\nшоу-балет «Феерия»\nАлена Ланская\nГосударственный академический ансамбль танца Беларуси\nНациональный хор им. Г.И. Цитовича\nИрина Дорофеева\nЖанет\nшоу-театр Татьяны Пановой «Хвілінка»\nарт-группа «Беларусы»\nгруппа «Аура»\nАлександра и Валентина Груздевы\nансамбль «Заранак»\nСтефания Соколова\nАртем Скороль\nКсения Галецкая\nдетская танцевальная группа «Сябрынка»\nМаркевич Вика\nКязумова Александра\nВладимир Арутюнян\nАндрей Колосов\nЯна Неклюдова\nАлександр Авраменко\n\nКак нам стало известно, этот концерт одновременно тренировка по проведению больших мероприятий «втихаря» и репетиция инаугурации. Для фашистского режима важность его проведения переоценить сложно.', out=False, mentioned=False, media_unread=False, silent=False, post=True, from_scheduled=False, legacy=False, edit_hide=False, from_id=None, fwd_from=None, via_bot_id=None, reply_to_msg_id=None, media=MessageMediaWebPage(webpage=WebPage(id=9170793120473843266, url='https://t.me/nexta_live/5237', display_url='t.me/nexta_live/5237', hash=0, type='telegram_message', site_name='Telegram', title='NEXTA Live', description='Только хорошие новости:\n\n❌В программе праздника в Киевским сквере не было Солодухи, но его с ОМОНом привезли с Бангалор выступить, но под громкие крики «Позор» быстро  спрятали,\n\n❌Виталию Воронко не дали исполнить песню «Батька» в Киевском сквере, но ди-джеи из Дворца детей и молодежи включили Цоя «Перемен»,\n\n❌российская группа Rasa отказалась выступать в Минске 8 августа (обращения в их Instagram),\n\n❌Джаро и Ханза также написали в Instagram, что не приедут на концерт в Минске 8 августа,\n\n❌ Стас Пьеха отказался выступать 8 августа в Бресте (он сказал, что его не ждут в Беларуси до осени),\n\n❌ Haddaway вообще не знал, что он выступает 8 августа в Гомеле, поэтому его там не будет,\n\n❌ Юлиана Караулова отказалась выступать 8 августа в Бресте,\n\n❌Оксана Ковалевская (группа Краски) написала в Instagram, что не будет выступать в Бресте 8 августа,\n\n❌ Мэвл (Беларусь) не будет выступать на провластном концерте (сообщил в Instagram)\n\n❌ Леонид Агутин спросил своих поклонников, стоит ли ему пойти на концерт 8 августа в Гродно…', photo=None, embed_url=None, embed_type=None, embed_width=None, embed_height=None, duration=None, author=None, document=None, cached_page=None, attributes=[])), reply_markup=None, entities=[MessageEntityBold(offset=6, length=192), MessageEntityTextUrl(offset=574, length=14, url='https://t.me/nexta_live/5237'), MessageEntityUrl(offset=713, length=35), MessageEntityItalic(offset=807, length=609)], views=717598, edit_date=datetime.datetime(2020, 9, 16, 19, 30, 4, tzinfo=datetime.timezone.utc), post_author=None, grouped_id=None, restriction_reason=[])",news,@nexta_live,11179
"​​Пытки ОМОНа

Невозможно перечислить все зверства и издевательства карателей над протестующими. Мы выбрали 10 фактов жестокого и недопустимого обращения с людьми. Вот чем занимаются «невиновные» каратели.

1. Изнасилование мужчины резиновой дубинкой;
2. Силовики наступали на сломанную ногу и пинали по ней;
3. Разрезали сзади шорты и угрожали, что засунут в задний проход гранату;
4. Переломы, выбитые зубы, рассечения мягких тканей и ожоги от электрошокера, а также черепно-мозговые травмы различной степени тяжести;
5. Избивали кулаками, ногами и дубинками, часами заставляли стоять, находиться на коленях или лежать в стрессовых позах и сутками держали в переполненных сверх всякой меры камерах;
6. Журналист из Гродно предъявил свою пресс-карту, но его все равно забрали, и при этом омоновец сломал ему оба запястья;
7. Омоновец выстрелил в упор в человека резиновой пулей и потребовалась операция, чтобы извлечь пулю из легких;
8. У человека, оставленного без инсулина на момент перевода в больницу наступила клиническая смерть;
9. Задержанному омоновцы отрезали дреды;
10. Поставили на колени лицом к спине следующего задержанного и стянули руки сзади пластиковой стяжкой. Стяжка была настолько тугая, что кровоточили запястья.

«Задокументированные нами пытки и недозволенное обращение нарушают целый ряд международных обязательств, которые Беларусь несет, в частности, как участник Международного пакта о гражданских и политических правах и Конвенции ООН против пыток, а также как член ОБСЕ», — пишет HWR.

Ничто не будет забыто.","Message(id=11178, to_id=PeerChannel(channel_id=1413275904), date=datetime.datetime(2020, 9, 16, 12, 25, 40, tzinfo=datetime.timezone.utc), message='\u200b\u200bПытки ОМОНа\n\nНевозможно перечислить все зверства и издевательства карателей над протестующими. Мы выбрали 10 фактов жестокого и недопустимого обращения с людьми. Вот чем занимаются «невиновные» каратели.\n\n1. Изнасилование мужчины резиновой дубинкой;\n2. Силовики наступали на сломанную ногу и пинали по ней;\n3. Разрезали сзади шорты и угрожали, что засунут в задний проход гранату;\n4. Переломы, выбитые зубы, рассечения мягких тканей и ожоги от электрошокера, а также черепно-мозговые травмы различной степени тяжести;\n5. Избивали кулаками, ногами и дубинками, часами заставляли стоять, находиться на коленях или лежать в стрессовых позах и сутками держали в переполненных сверх всякой меры камерах;\n6. Журналист из Гродно предъявил свою пресс-карту, но его все равно забрали, и при этом омоновец сломал ему оба запястья;\n7. Омоновец выстрелил в упор в человека резиновой пулей и потребовалась операция, чтобы извлечь пулю из легких;\n8. У человека, оставленного без инсулина на момент перевода в больницу наступила клиническая смерть;\n9. Задержанному омоновцы отрезали дреды;\n10. Поставили на колени лицом к спине следующего задержанного и стянули руки сзади пластиковой стяжкой. Стяжка была настолько тугая, что кровоточили запястья.\n\n«Задокументированные нами пытки и недозволенное обращение нарушают целый ряд международных обязательств, которые Беларусь несет, в частности, как участник Международного пакта о гражданских и политических правах и Конвенции ООН против пыток, а также как член ОБСЕ», — пишет HWR.\n\nНичто не будет забыто.', out=False, mentioned=False, media_unread=False, silent=False, post=True, from_scheduled=False, legacy=False, edit_hide=False, from_id=None, fwd_from=MessageFwdHeader(date=datetime.datetime(2020, 9, 16, 12, 19, 41, tzinfo=datetime.timezone.utc), from_id=None, from_name=None, channel_id=1243038268, channel_post=4508, post_author=None, saved_from_peer=None, saved_from_msg_id=None, psa_type=None), via_bot_id=None, reply_to_msg_id=None, media=MessageMediaWebPage(webpage=WebPage(id=5081221151409006495, url='https://telegra.ph/file/2e7fdc47e79722bf50b84.jpg', display_url='telegra.ph/file/2e7fdc47e79722bf50b84.jpg', hash=0, type='photo', site_name=None, title=None, description=None, photo=Photo(id=5986509418314967854, access_hash=-6989193956810592460, file_reference=b'\x00_b\xed\x07\xf0H\x97\xc5\xf1{\xce\x19#\x1e\xf6-`\x92\x97\xe7', date=datetime.datetime(2020, 9, 16, 12, 19, 19, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01(\x17\x92c\xe6\xaa\xfc\xa7\x0c\x0e?*\xa8\xb6\x8d\x95\x90\x1e\x01\x154\x11\xa9\x8f\xcc\x90)\xe7\x81\x8a\xb0\xb2\xa9^\xc0\x0fJ\x06\x90D\xc4<\x9c\x1d\xb9\x18&\x8a\x8ay\xca\x00C`QF\xe4\xda\xc5dw\xdc\x91\x9c\x08\xc9\xe2\xa5\x7f\xdd\xc9\xedU\x96E\x12D\\\x80\x01\xa9\xa6\x92\x12\xfb\xbc\xc1\x81\xc8\x19\xa0\xbb\x91\xce\xc2F\xdb\xd8QL.\xac\xed\xb0\xe7\xde\x8ad\xb64\x858\xdf\xf7A\xe7\x14\x84[g\xef6>\x94QM\x08d=[\xd2\x8a(\xa4\x07'), PhotoSize(type='m', location=FileLocationToBeDeprecated(volume_id=400089700829, local_id=33660), w=180, h=320, size=17452), PhotoSize(type='x', location=FileLocationToBeDeprecated(volume_id=400089700829, local_id=33661), w=450, h=800, size=77369), PhotoSize(type='y', location=FileLocationToBeDeprecated(volume_id=400089700829, local_id=33662), w=720, h=1280, size=136436)], dc_id=4, has_stickers=False, video_sizes=[]), embed_url=None, embed_type=None, embed_width=None, embed_height=None, duration=None, author=None, document=None, cached_page=None, attributes=[])), reply_markup=None, entities=[MessageEntityTextUrl(offset=0, length=2, url='https://telegra.ph/file/2e7fdc47e79722bf50b84.jpg'), MessageEntityBold(offset=2, length=13), MessageEntityItalic(offset=1237, length=265)], views=575614, edit_date=None, post_author=None, grouped_id=None, restriction_reason=[])",news,@nexta_live,11178
"Ситуацию с хасидами на белорусско-украинской границе спровоцировали «де-факто действующие белорусские власти». Об этом говорится в заявлении Офиса президента Украины.

«Призываем белорусские власти прекратить создавать дополнительное напряжение на границе с нашим государством и не распространять ложные обнадеживающие заявления для паломников, которые могут создать у них ощущение, что граница Украины все же может быть открыт для иностранцев», – заявили в Офисе президента Украины.","Message(id=11177, to_id=PeerChannel(channel_id=1413275904), date=datetime.datetime(2020, 9, 16, 11, 54, 4, tzinfo=datetime.timezone.utc), message='Ситуацию с хасидами на белорусско-украинской границе спровоцировали «де-факто действующие белорусские власти». Об этом говорится в заявлении Офиса президента Украины.\n\n«Призываем белорусские власти прекратить создавать дополнительное напряжение на границе с нашим государством и не распространять ложные обнадеживающие заявления для паломников, которые могут создать у них ощущение, что граница Украины все же может быть открыт для иностранцев», – заявили в Офисе президента Украины.', out=False, mentioned=False, media_unread=False, silent=False, post=True, from_scheduled=False, legacy=False, edit_hide=False, from_id=None, fwd_from=None, via_bot_id=None, reply_to_msg_id=11173, media=None, reply_markup=None, entities=[MessageEntityBold(offset=0, length=168), MessageEntityItalic(offset=168, length=276)], views=717614, edit_date=None, post_author=None, grouped_id=None, restriction_reason=[])",news,@nexta_live,11177
